1239853;CinemaSins;21:59;Everything Wrong With The Lego Movie;llxJthqtGNc
1168192;The Late Show with Stephen Colbert;10:14;John Oliver Doesn't Think He'll Get Deported, But He's Being Cautious;sJR9QjezRGg
1327851;The Daily Show with Trevor Noah;6:52;Is Steve Bannon the Real President? - The Daily Show;60q4UrjlvAA
6443219;Dude Perfect;8:53;Football World Record Edition | Dude Perfect;SOk-KVq-O1I
1630892;Screen Junkies;4:30;Honest Trailers - John Wick;wDEWKx0PtUg
571479;FBE;8:42;KIDS REACT TO SUPER BOWL COMMERCIALS 2017;LzDE706k1M8
18486643;Saturday Night Live;8:07;Sean Spicer Press Conference (Melissa McCarthy) - SNL;UWuc18xISwI
18760325;NFL;13:34;Lady Gaga's FULL Pepsi Zero Sugar Super Bowl LI Halftime Show | NFL;txXwg712zw4
1528612;The Tonight Show Starring Jimmy Fallon;8:52;Jimmy Interviews Julian Edelman and Bill Belichick After Patriots' Comeback Super Bowl Win;G-5lOHt4c5Y
193507;Associated Press;0:52;Clinton First Post-Inauguration Video Statement;Hvdp9jiUA9I
2905883;Netflix US & Canada;2:17;Marvel's Iron Fist | Official Trailer [HD] | Netflix;f9OKL5no-S0
506584;RocketJump;1:50;Dog Wick;iGpZ9xaQLYQ
1626245;Jimmy Kimmel Live;3:20;Super Bowl MVP Tom Brady Makes Surprise Appearance on Kimmel;6lgz3ftDI9I
1136410;20th Century Fox;2:37;Snatched | Official Trailer [HD] | 20th Century FOX;QcyeYFXdHNQ
708418;Caught In Providence;1:30;Caught in Providence: Car Clock;kxPgia7-QRg
5256266;Life Awesome;10:15;*IF YOU LAUGH, YOU LOSE* Funny Kids Fails Vines Compilation 2017 Part 2 | by Life Awesome;jrnQjUiahJc
1990068;RecklessFromTheBlock;10:07;SAVAGE LEVEL 101%;zTvPCrw9Yqs
601752;Funny Vines;15:04;Try Not To Laugh or Grin | David Lopez Funny Vines Compilation;brkuL9_KIyg
5920219;Vines Video;26:03;Funny Animals Vines Vine compilation November 2016;OFUjJvj4INw
1804292;CooL Vines;20:19;Funny Vines January 2017 (Part 3) TBT Vine compilation;BTU3O9DC_dA
1936798;Vine Age;16:42;Try Not to Laugh or Grin While Watching This Compilation Vine / December 2016 Pt.2- Vine Age✔;oOuaGz15MX8
5168517;Funny Vines;22:23;David Lopez Funny Vines Compilation - Best Vines 2015;rm76WlGvhb4
4751353;BoyFunnyGuys;8:41;I Bet You Cant Stop Laughing | New Funny Pranks Videos Vines;tb4Fb3regjQ
6390710;Dream Vine;30:42;New Zach King Magic Vines 2016 | Best Zach King Magic Tricks Ever;urcgzsOIOB0
7353437;World Wide Vines;41:07;New Zach King Magic Vines 2016 | Best Zach King Magic Tricks Ever;A_JzSFgfUZU
